Region,BROADLEA,CONIFER,SCLEROPH,TRANSIT
Region,,,,Hygrophilous forests
,,,,Boschi igrofili
,Corg,Corg,Corg,Corg
,(Mg ha-1),(Mg ha-1),(Mg ha-1),(Mg ha-1)
Piemonte,59.31666667,65.32857143,,40.7
Valle d'Aosta,63.25,62.96,,0
Lombardia,64.36666667,83.78333333,25.5,41.6
Alto Adige,64.84,78.46,,48.7
Trentino,65.5,89.5,12.9,67.2
Veneto,62.84,84.15,65.7,28.6
Friuli V.G.,73.16,83.31428571,,20.3
Liguria,56.83333333,75.77142857,41.5,62.6
Emilia Romagna,53.46666667,96.15,74.4,28.6
Toscana,59.36666667,123.5166667,35.2,46.4
Umbria,41.16666667,63.325,52.8,54.2
Marche,50.68333333,46.85,52.8,52.1
Lazio,53.93333333,118.125,32.1,33.1
Abruzzo,56.5,79.73333333,30.9,34.3
Molise,63.05,58.43333333,14.4,21.3
Campania,56.36666667,48.86666667,40.86666667,45.1
Puglia,67.05,69.4,30.75,37.6
Basilicata,57.11666667,61.975,31.1,18.1
Calabria,62.68333333,86.15,56.3,37.2
Sicilia,41.7,39.96666667,34.46666667,17.1
Sardegna,23.56666667,36.33333333,25.16666667,20.7
Italia,55.86666667,78.55714286,30.2,36.7
