CLC18_CODE,CLC18_NAME_ITALIAN,CLC18_NAME_ENGLISH,CLC18_COLOR,EFFIS_CODE,EFFIS_NAME_ITALIAN,EFFIS_NAME_ENGLISH,EFFIS_COLOR,CUFAA_CODE,CUFAA_NAME_ITALIAN,CUFAA_NAME_ENGLISH,CUFAA_COLOR
311,Boschi a latifoglie,Broadleaved forests,#00ff00,BROADLEA,Boschi a latifoglie,Broadleaved forests,#00ff00,BOSCO,Bosco,Forest,#00ff00
3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,#00ff00,CONIFER,Boschi di conifere,Coniferous forests,#9acd32,,,,
3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,#7ee80f,SCLEROPH,Vegetazione sclerofila,Sclerophyll  forests,#b4eeb4,,,,
3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,#c2fec2,TRANSIT,Boschi a prevalenza di specie igrofile,Hygrophilous forests,#8e9d61,,,,
3114,Boschi a prevalenza di castagno,Chestnut forests,#3d8e62,MIXED,Boschi misti,Mixed forests,#2e8b57,,,,
3115,Boschi a prevalenza di faggio,Beech forests,#5b8c3c,,,,,,,,
3116,Boschi a prevalenza di specie igrofile,Hygrophilous forests,#8e9d61,,,,,,,,
312,Boschi di conifere,Coniferous forests,#9acd32,,,,,,,,
3121,Boschi a prev. di pini mediterranei e cipressi,Mediterranean pine forests,#018100,,,,,,,,
3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,#d85c9b,,,,,,,,
3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,#59a621,,,,,,,,
3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,#2cca5f,,,,,,,,
3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,#438250,,,,,,,,
313,Boschi misti,Mixed forests,#2e8b57,,,,,,,,
3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",#2ead57,,,,,,,,
3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",#2e9957,,,,,,,,
3231,Macchia alta,High maquis,#b7df86,,,,,,,,
323,Vegetazione sclerofila,Sclerophyll  forests,#b4eeb4,,,,,,,,
