EFFIS_CLASS,CUFAA_CLASS,CLC18_CLASS,CLC18_NAME_ITALIAN,CLC18_NAME_ENGLISH,INFC_ID,INFC_NAME_ITALIAN,INFC_NAME_ENGLISH
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,20,Faggete,Beech
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,23,Castagneti,Chestnut
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,BOSCO,311,Boschi a latifoglie,Broadleaved forests,26,Altri boschi caducifogli,Other deciduous broadleaved forests
SCLEROPH,BOSCO,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,30,Leccete ,Holm oak
SCLEROPH,BOSCO,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,31,Sugherete,Cork oak
SCLEROPH,BOSCO,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,32,Altre latifoglie sempreverdi,Other evergreen broadleaved forests
BROADLEA,BOSCO,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,BOSCO,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,22,"Cerrete, boschi di farnetto, fragno, vallonea",Mediterranean oaks
BROADLEA,BOSCO,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,BOSCO,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,BOSCO,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,22,"Cerrete, boschi di farnetto, fragno, vallonea",Mediterranean oaks
BROADLEA,BOSCO,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,BOSCO,3114,Boschi a prevalenza di castagno,Chestnut forests,23,Castagneti,Chestnut
BROADLEA,BOSCO,3115,Boschi a prevalenza di faggio,Beech forests,20,Faggete,Beech
TRANSIT,BOSCO,3116,Boschi a prevalenza di specie igrofile,Hygrophilous forests,25,Boschi igrofili,Hygrophilous forests
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,10,Boschi di larice e cembro,Larch and Stone pine
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,11,Boschi di abete rosso,Norway spruce
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,12,Boschi di abete bianco,Fir
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,15,Pinete di pini mediterranei,Coniferous plantations
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,16,"Altri boschi di conifere, pure o miste",Mediterranean pines
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,17,Piantagioni di conifere,Other coniferous forests
CONIFER,BOSCO,3121,Boschi a prev. di pini mediterranei e cipressi,Mediterranean pine forests,15,Pinete di pini mediterrane,Mediterranean pines
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,17,Piantagioni di conifere,Coniferous plantations
CONIFER,BOSCO,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,11,Boschi di abete rosso,Norway spruce
CONIFER,BOSCO,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,12,Boschi di abete bianco,Fir
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,17,Piantagioni di conifere,Coniferous plantations
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,17,Piantagioni di conifere,Coniferous plantations
MIXED,BOSCO,313,Boschi misti,Mixed forests,10,Boschi di larice e cembro,Larch and Stone pine
MIXED,BOSCO,313,Boschi misti,Mixed forests,11,Boschi di abete rosso,Norway spruce
MIXED,BOSCO,313,Boschi misti,Mixed forests,12,Boschi di abete bianco,Fir
MIXED,BOSCO,313,Boschi misti,Mixed forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
MIXED,BOSCO,313,Boschi misti,Mixed forests,14,"Pinete di pino nero, laricio e loricato",Black pines
MIXED,BOSCO,313,Boschi misti,Mixed forests,15,Pinete di pini mediterranei,Mediterranean pines
MIXED,BOSCO,313,Boschi misti,Mixed forests,16,"Altri boschi di conifere, pure o miste",Other coniferous forests
MIXED,BOSCO,313,Boschi misti,Mixed forests,17,Piantagioni di conifere,Coniferous plantations
MIXED,BOSCO,313,Boschi misti,Mixed forests,20,Faggete,Beech
MIXED,BOSCO,313,Boschi misti,Mixed forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
MIXED,BOSCO,313,Boschi misti,Mixed forests,22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
MIXED,BOSCO,313,Boschi misti,Mixed forests,23,Castagneti,Chestnut
MIXED,BOSCO,313,Boschi misti,Mixed forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
MIXED,BOSCO,313,Boschi misti,Mixed forests,25,Boschi igrofili,Hygrophilous forests
MIXED,BOSCO,313,Boschi misti,Mixed forests,26,Altri boschi caducifogli,Other deciduous broadleaved forests
MIXED,BOSCO,313,Boschi misti,Mixed forests,30,Leccete,Holm oak
MIXED,BOSCO,313,Boschi misti,Mixed forests,31,Sugherete,Cork oak
MIXED,BOSCO,313,Boschi misti,Mixed forests,32,Altri boschi di latifoglie sempreverdi,Other evergreen broadleaved forests
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",20,Faggete,Beech
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",21,"Querceti di rovere, roverella e farnia",Temperate oaks
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",23,Castagneti,Chestnut
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",25,Boschi igrofili,Hygrophilous forests
MIXED,BOSCO,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",26,Altri boschi caducifogli,Other deciduous broadleaved forests
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",10,Boschi di larice e cembro,Larch and Stone pine
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",11,Boschi di abete rosso,Norway spruce
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",12,Boschi di abete bianco,Fir
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",14,"Pinete di pino nero, laricio e loricato",Black pines
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",15,Pinete di pini mediterranei,Mediterranean pines
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",16,"Altri boschi di conifere, pure o miste",Other coniferous forests
MIXED,BOSCO,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",17,Piantagioni di conifere,Coniferous plantations
SCLEROPH,BOSCO,323,Vegetazione sclerofila,Sclerophyll  forests,30,Leccete,Holm oak
SCLEROPH,BOSCO,323,Vegetazione sclerofila,Sclerophyll  forests,31,Sugherete,Cork oak
SCLEROPH,BOSCO,323,Vegetazione sclerofila,Sclerophyll  forests,32,Altri boschi di latifoglie sempreverdi,Other evergreen broadleaved forests
SCLEROPH,BOSCO,3231,Macchia alta,High maquis,50,Macchia alta,High maquis
